seed,trip,arm,origin,dest,arrived,fuel_abs,fuel_per_km,duration,CO2_abs,waitingTime,stops,timeLoss,routeLength,reroutes,bg_vcount_at_depart,bg_possum_at_depart
6,15,ablation,-152930,-153355#4,True,330547.74,40616.362896873914,628.75,1035981.15,0.0,0,30.04,8138.29,0,258,50593.8
6,16,ablation,152385,-152742,True,874125.36,111900.22082402566,540.25,2739805.06,13.25,2,81.94,7811.65,0,237,54899.3
6,17,ablation,-152725#0,152483#0,True,636903.86,97690.78423643204,526.75,1996292.99,0.0,0,49.22,6519.59,0,245,70823.4
6,18,ablation,152413#1,153427#10,True,237309.16,95013.35660863855,230.75,743811.96,0.0,0,22.75,2497.64,0,234,70201.5
6,19,ablation,-153451#0,-152492,True,450097.51,50786.51379852728,737.5,1410698.84,0.0,0,24.22,8862.54,0,236,57073.5
6,20,ablation,152817#3,153056,True,574813.42,107022.07418385474,475.0,1801677.63,12.0,2,75.6,5370.98,0,236,53630.8
6,21,ablation,-152830#0,152556,True,373795.39,68456.5566550007,377.0,1171567.76,0.0,0,29.76,5460.33,0,236,44167.2
6,22,ablation,-152657#2,153332#2,True,816975.09,122837.32654524896,624.75,2560733.11,22.0,2,97.63,6650.87,0,252,63189.0
6,23,ablation,-153553,153475#2,True,362596.52,87562.55010866941,386.0,1136502.51,0.0,0,38.55,4141.0,0,267,59481.3
6,24,ablation,153454#0,152489#3,True,556070.22,102471.76761748212,503.25,1742939.65,0.0,0,23.38,5426.57,0,264,66430.1
7,0,ablation,153487#1,-152776,True,336985.36,49257.21569166274,526.75,1056197.78,0.0,0,59.99,6841.34,0,226,42143.5
7,1,ablation,-152401,-153473#0,True,143670.15,79014.75028461119,152.25,450303.11,0.0,0,15.33,1818.27,0,226,46941.3
7,2,ablation,-153413#12,-153370#1,True,591548.02,94140.07988923724,591.25,1854109.73,0.0,0,36.23,6283.7,0,242,41252.6
7,3,ablation,-152883#0,-152743#1,True,875512.62,118806.84903809227,604.0,2744177.4,30.25,2,92.69,7369.21,0,241,52551.6
7,4,ablation,153327#1,-152682#1,True,274850.55,55159.08502529666,388.0,861467.64,0.0,0,59.4,4982.87,0,246,56183.5
7,5,ablation,153405#1,152690,True,253927.84,140122.85755278173,204.5,795927.92,4.0,1,44.51,1812.18,0,246,63113.8
7,6,ablation,-152443,-152427,True,641100.64,102111.1291622468,574.0,2009446.82,22.75,2,58.98,6278.46,0,242,68450.3
7,7,ablation,-152712,-153363#0,True,258541.69,68967.80776422948,303.5,810337.73,15.5,1,48.73,3748.73,0,230,64918.6
7,8,ablation,-153383#2,152960#6,True,212208.34,52161.04396644324,415.25,665124.47,6.0,1,42.72,4068.33,0,224,71031.2
7,9,ablation,153572#0,153327#0,True,412591.14,87446.54010737123,354.5,1293180.16,0.0,0,33.15,4718.21,0,229,44332.2
7,10,ablation,152677#1,-153365#1,True,192395.53,89597.14344258477,190.75,603036.15,0.0,0,24.58,2147.34,0,235,46020.1
7,11,ablation,152789#0,153401,True,250257.7,113157.36641963474,226.0,784413.34,14.25,3,48.79,2211.59,0,240,54246.5
7,12,ablation,-153476#17,-152284,True,419059.31,76576.87851765222,533.0,1313482.04,26.0,2,72.88,5472.4,0,241,52132.3
7,13,ablation,-152939#5,152693#1,True,88218.02,159633.06371351538,74.25,276520.48,0.0,0,15.07,552.63,0,264,55764.3
7,14,ablation,152398#3,-153476#16,True,204617.52,93327.39786633341,191.0,641339.36,4.0,1,27.52,2192.47,0,261,46354.0
7,15,ablation,-152930,-153355#4,True,327435.94,40233.997559683914,672.0,1026232.83,0.0,0,29.69,8138.29,0,253,47842.2
7,16,ablation,152385,-152742,True,887220.12,113576.53248673456,540.5,2780850.96,8.25,2,65.91,7811.65,0,240,59995.4
7,17,ablation,-152725#0,152483#0,True,642603.66,98565.04166673058,617.25,2014170.44,0.0,0,46.22,6519.59,0,242,64042.5
7,18,ablation,152413#1,153427#10,True,239315.22,95816.53881263913,212.5,750097.16,0.0,0,24.57,2497.64,0,237,63591.6
7,19,ablation,-153451#0,-152492,True,452793.74,51090.74148043337,731.75,1419147.59,0.0,0,24.25,8862.54,0,234,54782.1
7,20,ablation,152817#3,153056,True,551372.14,102657.64162219931,456.25,1728193.82,0.0,0,48.15,5370.98,0,234,55314.6
7,21,ablation,-152830#0,152556,True,385187.7,70542.93421826154,533.75,1207299.42,0.0,0,26.83,5460.33,0,237,53347.1
7,22,ablation,-152657#2,153332#2,True,805582.09,121124.31757048325,716.25,2525033.6,1.25,1,65.78,6650.87,0,257,61728.1
7,23,ablation,-153553,153475#2,True,374937.72,90542.79642598405,361.25,1175183.27,8.5,1,52.0,4141.0,0,264,61732.2
7,24,ablation,153454#0,152489#3,True,546498.84,100707.96838518622,423.75,1712926.9,0.0,0,26.48,5426.57,0,266,72516.0
8,0,ablation,153487#1,-152776,True,313085.24,45763.73049724177,677.5,981302.54,0.25,1,52.32,6841.34,0,229,44922.7
8,1,ablation,-152401,-153473#0,True,143999.47,79195.86750042623,150.0,451334.72,0.0,0,15.49,1818.27,0,229,45309.4
8,2,ablation,-153413#12,-153370#1,True,585241.72,93136.48328214268,544.25,1834332.94,0.0,0,37.42,6283.7,0,240,43304.7
8,3,ablation,-152883#0,-152743#1,True,875051.99,118744.34165941805,514.25,2742718.79,14.25,2,78.78,7369.21,0,244,61561.4
8,4,ablation,153327#1,-152682#1,True,248098.04,49790.189188158634,444.25,777617.84,0.0,0,52.57,4982.87,0,257,60435.9
8,5,ablation,153405#1,152690,True,265457.65,146485.2553278372,231.75,832074.05,21.75,2,62.98,1812.18,0,248,61783.0
8,6,ablation,-152443,-152427,True,633998.31,100979.9074932388,525.75,1987173.52,14.5,1,51.44,6278.46,0,235,62233.6
8,7,ablation,-152712,-153363#0,True,235770.4,62893.40656702403,353.5,738968.12,0.0,0,25.43,3748.73,0,238,74539.7
8,8,ablation,-153383#2,152960#6,True,225954.25,55539.80380155986,366.25,708209.07,10.75,1,51.77,4068.33,0,220,57981.5
8,9,ablation,153572#0,153327#0,True,420632.85,89150.93859747658,460.75,1318406.82,0.0,0,28.53,4718.21,0,229,45348.8
8,10,ablation,152677#1,-153365#1,True,191318.93,89095.77896374118,195.5,599662.03,0.0,0,23.99,2147.34,0,238,50873.6
8,11,ablation,152789#0,153401,True,242983.39,109868.18985435818,228.0,761611.84,9.5,1,40.43,2211.59,0,237,57945.1
8,12,ablation,-153476#17,-152284,True,407550.06,74473.73364520138,457.5,1277390.55,5.75,1,54.15,5472.4,0,244,59560.8
8,13,ablation,-152939#5,152693#1,True,94400.05,170819.62615131284,63.25,295898.01,0.0,0,18.89,552.63,0,260,52337.7
8,14,ablation,152398#3,-153476#16,True,211866.17,96633.55484909716,268.75,664074.44,0.0,0,15.74,2192.47,0,255,53079.6
8,15,ablation,-152930,-153355#4,True,334776.52,41135.97819689395,666.5,1049239.56,0.0,0,31.92,8138.29,0,254,48359.4
8,16,ablation,152385,-152742,True,876206.98,112249.32166694423,618.0,2746340.73,4.75,2,56.57,7805.9,0,247,65841.0
8,17,ablation,-152725#0,152483#0,True,642235.95,98508.64088079157,624.0,2013020.02,0.0,0,44.57,6519.59,0,238,72348.5
8,18,ablation,152413#1,153427#10,True,239728.39,95981.96297304655,239.25,751396.92,2.5,1,27.4,2497.64,0,237,65407.4
8,19,ablation,-153451#0,-152492,True,453090.93,51124.27475644679,685.5,1420075.25,0.0,0,29.04,8862.54,0,240,62349.1
8,20,ablation,152817#3,153056,True,561374.8,104519.99448890149,501.0,1759555.92,12.75,1,61.04,5370.98,0,236,58616.6
8,21,ablation,-152830#0,152556,True,377130.64,69067.3713859785,505.5,1182039.29,0.0,0,27.1,5460.33,0,232,50757.2
8,22,ablation,-152657#2,153332#2,True,808274.89,121529.19693213068,597.75,2533455.1,6.5,1,81.65,6650.87,0,251,61952.4
8,23,ablation,-153553,153475#2,True,360237.51,86992.87853175562,418.0,1129112.02,0.0,0,35.98,4141.0,0,263,58573.3
8,24,ablation,153454#0,152489#3,True,546650.51,100735.91790025744,415.0,1713400.35,0.0,0,27.27,5426.57,0,265,62613.7
10,0,ablation,153487#1,-152776,True,345392.37,50486.06998044243,554.0,1082557.27,8.75,2,89.89,6841.34,0,218,42242.9
10,1,ablation,-152401,-153473#0,True,146971.23,80830.25623257272,140.25,460648.42,0.0,0,16.57,1818.27,0,228,43441.2
10,2,ablation,-153413#12,-153370#1,True,581294.12,92508.2546907077,492.5,1821950.71,0.0,0,39.96,6283.7,0,233,43251.9
10,3,ablation,-152883#0,-152743#1,True,848605.25,115155.5254905207,536.5,2659820.64,2.75,1,61.51,7369.21,0,247,56735.9
10,4,ablation,153327#1,-152682#1,True,243061.14,48779.34603953144,462.25,761830.35,0.0,0,51.17,4982.87,0,256,64627.8
10,5,ablation,153405#1,152690,True,253499.64,139886.56755951396,195.25,794584.53,0.0,0,40.86,1812.18,0,244,63803.2
10,6,ablation,-152443,-152427,True,618971.81,98586.5658139098,476.0,1940062.66,5.5,1,40.82,6278.46,0,249,64411.3
10,7,ablation,-152712,-153363#0,True,231888.02,61857.75449285491,321.75,726795.52,0.0,0,29.98,3748.73,0,237,72519.3
10,8,ablation,-153383#2,152960#6,True,227622.3,55949.81233085812,355.75,713434.42,10.75,1,52.35,4068.33,0,221,60456.2
10,9,ablation,153572#0,153327#0,True,411095.91,87129.63390777435,403.5,1288500.88,0.0,0,30.79,4718.21,0,223,44089.7
10,10,ablation,152677#1,-153365#1,True,190313.04,88627.34359719466,202.75,596510.06,0.0,0,23.2,2147.34,0,237,56533.8
10,11,ablation,152789#0,153401,True,242785.16,109778.55750839892,233.25,760990.61,8.75,3,41.78,2211.59,0,237,49513.0
10,12,ablation,-153476#17,-152284,True,408269.89,74547.64882783756,466.0,1279648.52,5.0,2,56.16,5476.63,0,250,55095.3
10,13,ablation,-152939#5,152693#1,True,95824.18,173396.63065703996,67.75,300363.6,0.0,0,20.0,552.63,0,262,54414.8
